client_id,age,income,years_employed,credit_score,debt_to_income,num_credit_cards,num_late_payments,has_mortgage,has_car_loan,savings_balance,checking_balance,region_risk_score,phone_calls_to_support_last_3m,active_loans,customer_tenure_years,default
1,25,94074,22,839,0.5473390103151166,1,7,0,0,26057,5229,0.08005199405467849,19,1,8,0
2,58,51884,26,565,0.29088249926636534,1,1,0,1,16221,11595,0.42831132367343056,15,0,7,0
3,53,48656,39,561,0.5223400611426802,1,13,0,0,55448,-2947,0.7708828905627702,15,4,5,0
4,42,81492,30,582,0.709122740102668,2,10,1,1,35188,17727,0.35761894893095664,0,2,7,1
5,42,94713,8,642,0.7933920649976469,3,3,0,0,0,-404,0.4142604278689348,17,1,10,1
6,63,71006,1,712,0.5415938951993872,3,0,0,0,14162,372,0.100422793412751,12,0,13,0
7,25,37840,25,691,0.03233447014513836,1,12,0,0,56999,973,0.4321564032018181,12,2,1,0
8,55,35993,22,662,0.6315205022346773,0,0,0,1,5267,462,0.09640079487770875,6,4,2,0
9,30,34321,36,687,0.6208563269780598,0,7,1,1,20995,3650,0.632998483523537,17,1,1,1
10,25,25809,23,601,0.2545435129272722,5,0,0,1,38464,3379,0.3672376494488491,10,3,0,0
11,46,72737,20,632,0.1346305794872382,7,10,0,0,29784,5907,0.22215581917077165,4,1,12,0
12,68,98126,12,648,0.18796266990169697,0,3,0,0,31947,-730,0.8198371825490505,7,4,3,0
13,57,69664,3,539,0.3193603514328672,0,6,0,1,31063,6166,0.581045466186051,4,3,4,1
14,58,15000,35,568,0.11117016864749016,6,8,1,0,20380,-2632,0.5591302736238198,18,4,4,0
15,56,65230,33,571,0.031260965882279806,5,5,0,0,8115,10127,0.44429297548764324,16,3,12,0
16,59,65930,6,703,0.025790849755499494,5,10,1,1,26521,10040,0.20525657219373838,11,2,9,0
17,46,122399,28,667,0.2526310238508193,1,7,1,1,13958,4959,0.7438055809665467,15,0,1,0
18,27,33571,14,692,0.4274815087088934,6,6,0,0,12779,452,0.21469482656845595,16,1,12,0
19,62,60233,17,521,0.4631613836052388,4,4,0,0,42237,7177,0.2582691287910432,6,1,14,0
20,43,112646,33,546,0.46749056029320296,1,6,1,0,14285,-1213,0.3874012555172621,5,4,10,1
21,45,81249,33,696,0.1889168586403434,0,4,1,1,45591,5241,0.3392246889927253,18,2,7,1
22,39,84082,7,455,0.6923606639294246,4,8,1,1,23851,3937,0.33428438568655844,7,2,14,1
23,29,72864,12,735,0.5398409302331899,6,11,1,0,17612,23409,0.5988968941393649,0,4,0,1
24,66,78248,32,522,0.5339423741601305,6,8,1,0,0,-3000,0.277537529303064,15,4,0,1
25,59,89440,36,709,0.14869427148658604,4,0,1,0,51797,-3000,0.0702459025867232,4,3,11,0
26,52,49762,3,587,0.44902187004992516,4,12,1,0,19910,536,0.6839757999542451,4,1,2,1
27,40,91951,33,723,0.30452527707974053,5,11,0,0,0,-3000,0.4670781840050038,14,0,0,0
28,61,35674,19,850,0.16957654395608793,1,12,1,0,34815,-86,0.5094110801107091,19,2,1,0
29,47,78209,23,490,0.5653059441406778,2,0,0,1,19247,-3000,0.8346143724681504,1,4,6,1
30,42,74468,3,698,0.1028693428997993,0,12,1,1,6030,-1331,0.28700154550868184,13,2,9,0
31,43,54592,27,523,0.10571613442356635,6,7,0,1,33967,-2454,0.43753284548910915,6,4,6,1
32,32,69432,27,679,0.34980437920984375,4,12,0,1,0,11740,0.1484579671096563,17,0,6,1
33,25,54436,26,635,0.14403502122468428,6,11,1,1,9288,4660,0.7115767685952529,17,0,2,0
34,48,43207,31,659,0.1824229865560698,3,13,0,0,15508,12528,0.46905390331177327,2,2,4,0
35,64,61159,37,586,0.18086868169909515,7,1,1,1,32782,5283,0.19718674982485057,0,1,14,0
36,24,42400,33,704,0.40372653758750904,7,8,1,0,53603,11500,0.3702247632435202,8,0,4,0
37,63,78069,29,548,0.620852207120684,4,10,0,0,16328,2884,0.5620572795794571,1,4,5,1
38,61,41247,39,736,0.3382717590361735,6,8,1,1,26899,16161,0.45545621273253617,6,1,13,0
39,34,87799,26,621,0.27500585982478293,5,12,0,1,61225,8296,0.24708993224248554,3,1,0,0
